book_id,segment,B1_attraction_chemistry,C_explicit_eroticism,D_power_wealth_luxury,F1_sadness_grief,G_courtship_rituals_gifts,L_vices_addictions,M_health_recovery_growth,H_domestic_nesting,I_humor_lightness,J_social_support_kin,K_professional_intrusion,Q_miscommunication,Q_repair,R2_alpha_guarding,R_jealousy_possessiveness,S_scene_anchors,H1_love_over_sex_log,H3_luxury_saturation,H3_love_depth,H3_interaction,H4_protect_over_jealous_log,H5_dark_over_tender_log,Q_repair_over_miscomm_log,H1_chemistry_over_sex_log,H1_tender_over_sex_log,H1_vows_over_sex_log,H4_tender_over_alpha_log,H5_trauma_over_safety_log,H5_anger_over_tender_log
104659050,begin,0.14667850645734481,0.09837544981280533,0.06039368681245955,0.011345851083364842,0.027561054205889172,0.07332000424729998,0.009709406893156594,0.19514486070293685,0.010868667911843414,0.03459351836469412,0.037166895442405035,0.02889202538207686,0.04009731916890342,0.0028959526403892874,0.0015339920645926263,0.10897565714638745,,0.06039368681245955,,,0.6351341594625106,,0.327734187714789,0.39944853419653836,,,,,
104659050,middle,0.09817800413711782,0.1343495670349205,0.060502085485553636,0.004442835901762218,0.012676543571579643,0.0651516897764892,0.030463751816443865,0.20966520983233825,0.00907816806023942,0.048767761423152825,0.11125697142625474,0.017160617246746914,0.07653170317196817,0.03705432539527353,0.036251374162302764,0.07978373144269524,,0.060502085485553636,,,0.021907203489639038,,1.4950428071602135,-0.3136601702898232,,,,,
104659050,end,0.09889016158963115,0.10262165509379567,0.07298668834259246,0.00443293242614506,0.02290355228630067,0.1221802455379214,0.009597677436359201,0.20173086392711362,0.00546440454331204,0.08813842530200844,0.04810760289186905,0.04085808618940156,0.07431937518367854,0.001966652611258078,0.0010360396631279038,0.09958475299990117,,0.07298668834259246,,,0.6404710879095559,,0.5982559180027458,-0.037038850749872676,,,,,
11266880,begin,0.09441497833200876,0.12757383651859944,0.06722302410652155,0.005088312224368807,0.01297421825365344,0.06516944389874633,0.0026129638631519044,0.19386450600317567,0.002762003218977945,0.03171400723982138,0.046122182110294764,0.012924216890841446,0.06453838781542384,0.019747539472227092,0.01843067845892811,0.09890493390814892,,0.06722302410652155,,,0.06900869819761812,,1.6080955002510384,-0.30099282467606825,,,,,
11266880,middle,0.08520365650185195,0.11235698613613437,0.03781626301146817,0.006555307766975252,0.01060406228509013,0.03752908968432431,0.016768387776392654,0.1474107865213725,0.0057448707687079974,0.01713676156247271,0.07206816742048629,0.0037781370129827225,0.093135113981743,0.003692448088535634,0.001959679101216063,0.06986239490660004,,0.03781626301146817,,,0.6332695696271919,,3.2045663342265245,-0.27663399263929556,,,,,
11266880,end,0.12202184678080026,0.08816284207695096,0.0942801503451264,0.007233559008197407,0.002552727026632409,0.05076486712724701,0.03879180218891671,0.1722079102366588,0.008065532959501291,0.03918943309799791,0.05690081557265675,0.012655243642838114,0.051290335950403367,0.0032278639728221736,0.0017369847119527466,0.06998951747898001,,0.0942801503451264,,,0.6194041337093923,,1.3993711860451272,0.32501137071308994,,,,,
123257687,begin,0.08510852835490046,0.01221706602207111,0.06920094349420061,0.002218495583489653,0.04045567769498851,0.09443303018891894,0.040949938982445866,0.19045482682308804,0.009601815179790361,0.02345743209278481,0.11103156781952159,0.038286278073082866,0.06767674592791931,0.00850484920438815,0.0009298884835249064,0.08718845322000486,,0.06920094349420061,,,2.212369858798576,,0.569639734081957,1.9410233179935967,,,,,
123257687,middle,0.1181755909894844,0.0767568495647159,0.0753917752729037,0.00238216478948377,0.017718550436273225,0.032527903604273836,0.029702302035140214,0.1866918225597347,0.008982032387507183,0.05954365496736565,0.06748051850358028,0.018621069079038974,0.08766835570936726,0.02804472949689604,0.027057478588677155,0.05192106577856126,,0.0753917752729037,,,0.03583597674221517,,1.5492250295314567,0.4315243838876306,,,,,
123257687,end,0.038794599110086786,0.04543815826655175,0.16307591390914947,0.003981325447042963,0.02113399901788832,0.010718251672673536,0.004349060090882986,0.22507862513660515,0.026660298096941728,0.18016879567568378,0.059012397503853176,0.08418524806065096,0.03856505453624044,0.0030213511669433973,0.0015536284158219162,0.07684888923503087,,0.16307591390914947,,,0.6647985043990579,,-0.7806591098160287,-0.15806743497939868,,,,,
123446478,begin,0.10430266935405261,0.03749106083429095,0.08797996787739401,0.007601569466023716,0.0011127567330487188,0.04547305578182948,0.021915675672389494,0.24920833443761106,0.0029913679467637394,0.047480454252531196,0.0551171124468402,0.028456552426400918,0.1477815262958546,0.027179743605803823,0.02556114074792779,0.0491591298000075,,0.08797996787739401,,,0.06139638708055273,,1.6473281877068013,1.023177342678586,,,,,
123446478,middle,0.024360431851498894,0.1044967110880916,0.08863001888387576,0.0026593686640065057,0.0008634242977090735,0.027611390145196986,0.00860259047603265,0.17511276800563377,0.0031000617850286704,0.04274389617973692,0.06779839463975135,0.008439496750980699,0.027254355991471066,0.052887952888669765,0.05199041778433215,0.07486519943339376,,0.08863001888387576,,,0.017115824622958797,,1.1722088883143882,-1.4561639477902895,,,,,
123446478,end,0.05699866513041819,0.09362837895615053,0.05670589651068254,0.002537336407647211,0.018946432878866333,0.028255952061488107,0.07078398948311886,0.25276023891349353,0.009211894365751363,0.03556378892208147,0.055388008156802955,0.003530908379317496,0.04551568483055421,0.04897979162952422,0.03498984160919993,0.08590736833811291,,0.05670589651068254,,,0.336341854755132,,2.556240616076991,-0.4962988190585369,,,,,
127305713,begin,0.04437733190439224,0.046017941267244906,0.05350362866787197,0.0045865138882939666,0.008939234797185277,0.03293597122301385,0.029104089439946204,0.2879043935502436,0.023711298513171497,0.060974201383069734,0.07548646460641129,0.03575433782127117,0.03532687396729359,0.0019473206983534157,0.0011020485377176098,0.04799749050707357,,0.05350362866787197,,,0.5688900767284064,,-0.012027284533954852,-0.03630174826946542,,,,,
127305713,middle,0.08203226028830762,0.08385571173957576,0.040361144316328916,0.004954651701772216,0.010474135445616949,0.02243611568066098,0.0232581918901498,0.3031205753915021,0.018783349152142335,0.045609720761042354,0.07517539930718853,0.0363491747656642,0.08572832917005432,0.03580226672414316,0.03415851099941436,0.0711418644514202,,0.040361144316328916,,,0.04699808470896061,,0.857995985918568,-0.021984751366747268,,,,,
127305713,end,0.07672740908745036,0.024363907383715532,0.03963569678951023,0.0027478731854714646,0.02468849396246642,0.07650769818915731,0.03864141291549603,0.2623444139059125,0.021213340732577177,0.05441711225193675,0.01255036232458121,0.036852806436518844,0.054162848387605524,0.03747099323856602,0.007111352979794665,0.08740884501759777,,0.03963569678951023,,,1.6617606784159817,,0.3850547732521443,1.147128156983038,,,,,
149105520,begin,0.13340144045524413,0.020373470621794273,0.09396909353936986,0.004277720891824436,0.0005248527132382788,0.1256605355942023,0.03024158455819649,0.2320836301992027,0.015912499365744064,0.03277520114973015,0.06894470474144097,0.04635091705777554,0.027481428076095542,0.022398002787569614,0.021889161165127527,0.015376456478847526,,0.09396909353936986,,,0.02297916545016543,,-0.5227158302390151,1.8790877505444161,,,,,
149105520,middle,0.165994702677104,0.06327313461575952,0.014178069261658202,0.0064463091696862415,0.015881782242153426,0.1446810938269616,0.04303902687595783,0.27879579449137504,0.02846918738387928,0.09351450956257387,0.04409901631658519,0.07753796839752818,0.006135223051023308,0.0033781030456800677,0.0018058385617922554,0.1391443958840423,,0.014178069261658202,,,0.6260316360162967,,-2.5365712134072336,0.9644852707549905,,,,,
