book_id,segment,sum_prob
104659050,begin,1.0
104659050,end,1.0
104659050,middle,1.0
11266880,begin,1.0
11266880,end,0.9999999999999999
11266880,middle,1.0
123257687,begin,0.9999999999999999
123257687,end,0.9999999999999999
123257687,middle,1.0
123446478,begin,0.9999999999999999
123446478,end,0.9999999999999999
123446478,middle,0.9999999999999999
127305713,begin,0.9999999999999999
127305713,end,1.0
127305713,middle,0.9999999999999999
149105520,begin,0.9999999999999998
149105520,end,1.0000000000000002
149105520,middle,0.9999999999999999
15197,begin,1.0
15197,end,1.0
15197,middle,1.0
161913,begin,0.9999999999999999
161913,end,1.0
161913,middle,1.0
17561022,begin,1.0000000000000002
17561022,end,1.0
17561022,middle,1.0
1756703,begin,1.0
1756703,end,0.9999999999999999
1756703,middle,1.0
18692741,begin,1.0
18692741,end,0.9999999999999999
18692741,middle,1.0
201413413,begin,1.0
201413413,end,1.0
201413413,middle,1.0
20346544,begin,1.0
20346544,end,1.0
20346544,middle,1.0
208153130,begin,1.0
208153130,end,0.9999999999999999
208153130,middle,1.0
21787,begin,1.0
21787,end,1.0
21787,middle,0.9999999999999999
22609391,begin,1.0
22609391,end,1.0000000000000002
22609391,middle,1.0
22707536,begin,1.0
22707536,end,0.9999999999999999
22707536,middle,1.0
23518136,begin,1.0
23518136,end,0.9999999999999999
23518136,middle,1.0
27394781,begin,1.0
27394781,end,1.0
27394781,middle,1.0000000000000002
28675670,begin,1.0
28675670,end,0.9999999999999999
28675670,middle,1.0
28869598,begin,1.0000000000000002
28869598,end,1.0
28869598,middle,1.0
28963772,begin,0.9999999999999999
28963772,end,1.0000000000000002
28963772,middle,1.0
29424551,begin,1.0
29424551,end,0.9999999999999998
29424551,middle,1.0
29939161,begin,1.0
29939161,end,1.0
29939161,middle,1.0
30291077,begin,1.0
30291077,end,1.0
30291077,middle,1.0000000000000002
30618705,begin,0.9999999999999999
30618705,end,0.9999999999999999
30618705,middle,1.0
30627346,begin,1.0000000000000002
30627346,end,1.0
30627346,middle,0.9999999999999999
306364,begin,1.0
306364,end,1.0
306364,middle,1.0
31276376,begin,1.0
31276376,end,1.0000000000000002
31276376,middle,1.0
31424202,begin,1.0000000000000002
31424202,end,1.0
31424202,middle,1.0
31625455,begin,0.9999999999999999
31625455,end,1.0
31625455,middle,1.0000000000000002
32195234,begin,1.0
32195234,end,1.0
32195234,middle,0.9999999999999999
33743772,begin,1.0
33743772,end,0.9999999999999999
33743772,middle,0.9999999999999999
34272677,begin,1.0
34272677,end,0.9999999999999999
34272677,middle,1.0
34322023,begin,0.9999999999999999
34322023,end,0.9999999999999999
34322023,middle,1.0000000000000002
34438741,begin,1.0000000000000002
34438741,end,1.0000000000000002
34438741,middle,0.9999999999999999
34812836,begin,1.0
34812836,end,1.0
34812836,middle,1.0
35008850,begin,1.0
35008850,end,1.0
35008850,middle,1.0
35053870,begin,1.0000000000000002
35053870,end,1.0000000000000002
35053870,middle,0.9999999999999999
35109856,begin,1.0
35109856,end,1.0
35109856,middle,1.0
36429604,begin,0.9999999999999999
36429604,end,1.0
36429604,middle,1.0
36437212,begin,1.0
36437212,end,1.0
36437212,middle,0.9999999999999999
36512901,begin,0.9999999999999999
36512901,end,0.9999999999999999
36512901,middle,1.0
36564103,begin,1.0
36564103,end,1.0
36564103,middle,0.9999999999999999
36600859,begin,1.0
36600859,end,1.0
36600859,middle,1.0
36662463,begin,1.0
36662463,end,1.0000000000000002
36662463,middle,1.0
40131614,begin,1.0
40131614,end,1.0
40131614,middle,1.0
4066312,begin,1.0
4066312,end,0.9999999999999999
4066312,middle,1.0
40727118,begin,0.9999999999999999
40727118,end,1.0
40727118,middle,0.9999999999999999
42427664,begin,1.0000000000000002
42427664,end,1.0000000000000002
42427664,middle,1.0
43728457,begin,0.9999999999999999
43728457,end,1.0
43728457,middle,1.0
44099084,begin,1.0
44099084,end,1.0
44099084,middle,0.9999999999999999
44168447,begin,1.0
44168447,end,1.0000000000000002
44168447,middle,0.9999999999999999
45156972,begin,1.0
45156972,end,1.0
45156972,middle,1.0
45857023,begin,0.9999999999999999
45857023,end,1.0
45857023,middle,1.0
46142566,begin,1.0
46142566,end,1.0
46142566,middle,1.0
48572514,begin,1.0000000000000002
48572514,end,0.9999999999999999
48572514,middle,0.9999999999999999
49571946,begin,1.0
49571946,end,1.0
49571946,middle,0.9999999999999999
51208558,begin,1.0
51208558,end,1.0000000000000002
51208558,middle,1.0
51778361,begin,0.9999999999999999
51778361,end,1.0000000000000002
51778361,middle,1.0
53490997,begin,1.0
53490997,end,1.0
53490997,middle,1.0
53491020,begin,1.0
53491020,end,1.0
53491020,middle,1.0
53491063,begin,1.0
53491063,end,0.9999999999999999
53491063,middle,1.0
54474410,begin,1.0
54474410,end,1.0
54474410,middle,1.0
55538972,begin,1.0
55538972,end,0.9999999999999998
55538972,middle,1.0000000000000002
55583305,begin,0.9999999999999999
55583305,end,0.9999999999999999
55583305,middle,1.0
55590890,begin,1.0
55590890,end,1.0
