composite_key,alpha,pca_pc1,pca_pc2,stability_leave_one_out,stability_split_half,omega_total
A1_commitment_vows,,,,,,
A2_emotional_safety,0.3079207363780012,0.5936144502582649,0.4063855497417352,0.7686864556530186,,0.7429899650167597
A3_everyday_tenderness,-0.28588361674434654,0.4531092789051167,0.32758078924852235,0.8641213825883727,-0.12761325077367558,0.568224586556373
B1_attraction_chemistry,0.49941233421477077,0.2207543674753691,0.176898614996751,0.9930686722058901,0.3500317083507044,0.8819232302445802
B2_emotional_intimacy,0.18574667139402368,0.6930061848881833,0.18993579985220613,0.9019606429708464,0.12967122796926464,0.6590781854298408
C_explicit_eroticism,-0.531665010355107,0.8000765605058451,0.12556321136027304,0.9536327540094028,-0.16611261778905204,0.8611105758947604
D_power_wealth_luxury,0.2397574322626685,0.24185695510944574,0.18659709980414046,0.9888627470965436,0.16420897478909913,0.737068913676903
E_coercion_brutality_danger,-0.7560395979638396,0.7625884015493077,0.10751045067651446,0.8142206726952856,-0.30090612456591,0.7751225801610142
F1_sadness_grief,-1.680514523667766,0.871599189844929,0.06716555792331276,0.708891441608265,-0.5299511603700501,0.8819798923382123
F2_anger_frustration,-0.08469832403689104,0.9093339599655744,0.09066604003442565,0.595565352022037,,0.6973111861173825
F3_anxiety_worry,0.06808801727044256,0.9219257957119272,0.07807420428807284,0.6493210988076991,,0.695173456200179
G_courtship_rituals_gifts,-0.032450315054766365,0.9462910979291704,0.04107774591369591,0.7204206270296329,,0.6372643803458083
L_vices_addictions,-0.2082001083084838,0.3358176634178416,0.2882466267852117,0.960124731591793,-0.0919072319694288,0.7452165294149659
M_health_recovery_growth,-0.4850828131611082,0.38512494566795347,0.2780107444879259,0.9052347599931855,-0.20448559240198214,0.505115485557511
H_domestic_nesting,-0.21924992405669924,0.2863886027741734,0.11847917350007131,0.9933769287867232,-0.09658962188807116,0.9097203087068442
I_humor_lightness,0.28399915989179725,0.358524614768782,0.3395578851312194,0.9674719683756031,0.19021619062322173,0.6571552891903915
J_social_support_kin,0.19269367510928007,0.27321710745271965,0.2077658593331699,0.9876045292886793,0.13728863403651037,0.7852830393368632
K_professional_intrusion,0.010652466649865473,0.6219574511668722,0.11114347254523774,0.9706414018570603,0.010820168493727024,0.7243481610663024
N_separation_reunion,-0.1149454269605135,0.5384902277868823,0.1827728587021339,0.8977132645233743,-0.06112980941836017,0.6360424023815785
O_aesthetics_appearance,,,,,,
Q_miscommunication,-0.11581849484080259,0.6124430381541888,0.16595732240167096,0.9287466204850818,-0.06451093202787059,0.6321920766938786
Q_repair,0.201132884984595,0.3812193494053065,0.2635641782152164,0.939030699977394,0.12048599922073838,0.6473740054843046
R1_protective_caretaking,-0.030789403249499525,0.8988595144183644,0.10114048558163545,0.6219120061235821,,0.6777445010694522
R2_alpha_guarding,0.3452075059792876,0.3914986829152607,0.28495077570431787,0.9611016181945059,0.24784794879274766,0.6489717916454406
R_jealousy_possessiveness,0.22380677469854535,0.4440158088497434,0.32015826515673973,0.9294576124666324,0.1601121824391627,0.6262126862100958
S_scene_anchors,0.35573011478557826,0.44018065778485754,0.24007547515598712,0.9879592307689465,0.2788415294426573,0.8604406634800253
