composite_key,alpha,omega_total,pca_pc1,pca_pc2,stability_leave_one_out,stability_split_half,mean_intertopic_corr,stability_boot_to_full
A1_commitment_vows,0.24643886534713327,0.7176189358053244,0.925321915135529,0.06859714139945201,0.8477684065117502,,0.18767362971140697,
A2_emotional_safety,0.4995229568722719,0.7165288544234,0.2505550280718006,0.2124953525378905,0.9784742352169032,0.3505044771809951,0.10749000030526171,0.8160359061949493
A3_everyday_tenderness,-0.23733134731774688,0.5860771676806404,0.5372909668683583,0.3885346960346001,0.8298996453379449,-0.10823858467256944,-0.0549148171726063,0.635171120899381
B1_attraction_chemistry,0.6239174706018334,0.8966741413746284,0.3605352139994095,0.17418492362416158,0.9943565234221947,0.507408269044389,0.09438394869157327,0.8618684258361532
B2_emotional_intimacy,0.18574667139402368,0.6590781854298408,0.6930061848881833,0.18993579985220613,0.9019606429708464,0.12967122796926464,0.1174668564920478,0.787263263516667
C_explicit_eroticism,-0.531665010355107,0.8611105758947604,0.8000765605058451,0.12556321136027304,0.9536327540094028,-0.16611261778905204,0.027063450921385727,0.6208549912726284
D_power_wealth_luxury,-0.030605233822346263,0.7227495098203108,0.26744392203800565,0.1677534441927174,0.9825023016640102,-0.013292398053257251,0.021306902059084178,0.6938473068496199
E_coercion_brutality_danger,-0.7560395979638396,0.7751225801610142,0.7625884015493077,0.10751045067651446,0.8142206726952856,-0.30090612456591,0.012310037140541585,0.6432653458980555
F1_sadness_grief,-1.680514523667766,0.8819798923382123,0.871599189844929,0.06716555792331276,0.708891441608265,-0.5299511603700501,-0.020248055834114875,0.43691204875634004
F2_anger_frustration,-0.5385828411751763,0.8378260175362796,0.7323573043363104,0.17407480932248484,0.9714881918544375,-0.2689067450616223,0.05327234043373134,0.5453090582372062
F3_anxiety_worry,-0.4304733556920751,0.8123721197033696,0.7175797586692926,0.172246063920948,0.9764667062897819,-0.2494864501305402,0.03759465643237219,0.4867792189105448
G_courtship_rituals_gifts,-0.032450315054766365,0.6372643803458083,0.9462910979291704,0.04107774591369591,0.7204206270296329,,-0.05151651111750304,
L_vices_addictions,-0.2079181159517152,0.7385421920830223,0.46265474470279805,0.27451546392091875,0.9535595553822832,-0.09021800853103788,-0.0051405425021888084,0.6545749005443398
M_health_recovery_growth,-0.4850828131611082,0.505115485557511,0.38512494566795347,0.2780107444879259,0.9052347599931855,-0.20448559240198214,-0.040564058372036436,0.6091270270682037
H_domestic_nesting,-0.1679508989353842,0.9112794972182098,0.3077331258982747,0.12721086926533842,0.9931793223643312,-0.06261506844815228,0.022290632862229147,0.6836242677127737
I_humor_lightness,0.037728204841842874,0.6753044002868609,0.4124854556117293,0.1592535279873812,0.9428848839965772,0.02371704065081021,0.006340902727097319,0.732796201875177
J_social_support_kin,-0.013393570159446604,0.7683941350884926,0.32375571176494,0.19376153595179157,0.9797383898127342,0.0007258929788926224,0.014922843137425265,0.7002278862953415
K_professional_intrusion,0.33301202686170156,0.694545834993571,0.3753926458784177,0.1340312691321284,0.9785131878853827,0.2138151058397823,0.056914138926228014,0.7754673981037091
N_separation_reunion,-0.07602329224233151,0.662679232542659,0.6012388422883723,0.20274176101081792,0.8770939387761929,-0.03920160907950401,0.044601530158707284,0.737480788019672
O_aesthetics_appearance,0.07003444726540506,0.6177357878759062,0.686871231206686,0.15996588961352487,0.8907825028897592,0.0554518541140724,0.02057567717965689,0.7556636101490736
Q_miscommunication,-0.11581849484080259,0.6321920766938786,0.6124430381541888,0.16595732240167096,0.9287466204850818,-0.06451093202787059,0.012731098989254088,0.66885843036161
Q_repair,0.201132884984595,0.6473740054843046,0.3812193494053065,0.2635641782152164,0.939030699977394,0.12048599922073838,0.03817144458422124,0.7807236233481425
R1_protective_caretaking,-0.19173440736875122,0.8980101842990071,0.4177160063877308,0.16900585648939806,0.9915940637855081,-0.09168883186551231,0.033089526633202984,0.6539837510019211
R2_alpha_guarding,0.273781632335594,0.6717644241028017,0.5342639457684016,0.16913046311454433,0.932862178112383,0.1771457161158437,0.07830802210102301,0.7540674153685184
R_jealousy_possessiveness,0.1371523018178046,0.6715916169290798,0.6425928940706299,0.18089686559984672,0.8754191409610825,0.08920011068507273,0.024281472032270258,0.7094713597247002
S_scene_anchors,0.39855120006217265,0.8648743000279876,0.45044335688426607,0.2462384808235021,0.9878069187045609,0.31400640987297845,0.025027979045836188,0.8004897059724331
